method,case,case_display,observed_order,best_n,best_abs_error,final_n,final_abs_error
trapezoidal,exp_on_01,"Integral of exp(x) on [0,1]",1.999809310668038,256,2.1849077749269696e-06,256,2.1849077749269696e-06
trapezoidal,pi_form,"Integral of 4/(1+x^2) on [0,1]",1.9999925138691284,256,2.543131510268637e-06,256,2.543131510268637e-06
trapezoidal,sin_on_pi,"Integral of sin(x) on [0,pi]",2.0018996325032523,256,2.509976494757815e-05,256,2.509976494757815e-05
trapezoidal,x_squared,"Integral of x^2 on [0,1]",1.9999999999986675,256,2.5431315104351704e-06,256,2.5431315104351704e-06
